Product_Name,Product_Categorise,Product_price,Product_Images
Starfire (DC comics) Bishoujo figur,Figures,$100.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_54.png?v=1718196818&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_53.png?v=1718196847&width=1946']"
Lady Deadpool (Marvel) Bishoujo statue,Figures,$120.00 USD,"['https://giftmania.online/cdn/shop/files/Toy-Kotobukiya-Action-Figure-Marvel-Lady-Deadpool-Bishoujo-Figure_72050c34-5d80-49bb-8191-89e4028c581b.dcd33a8599f0856b431220be32508d86.webp?v=1718196300&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_50.png?v=1718196229&width=1946']"
Little Apple Dolls series 2 Animula,Figures,$90.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_48.png?v=1718195885&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_49.png?v=1718195998&width=1946']"
MacFarlane Toys (Spawn) The Creech,Figures,$285.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_47.png?v=1718195543&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_46.png?v=1718195480&width=1946']"
Bandai (Gundam) NEO Hong Kong Mobile Action Figure,Figures,$160.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_33.png?v=1718191217&width=1946', 'https://giftmania.online/cdn/shop/files/image-removebg-preview_30.png?v=1718191263&width=1946']"
Bandai (Gundam) Master Grade Gundam Spiegel GF13-021 Action Figure,Figures,$120.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_31.png?v=1718190846&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_32.png?v=1718191024&width=1946']"
Tryndamere (League of Legends),Figures,$135.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_23.png?v=1718105015&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_24.png?v=1718105176&width=1946']"
Emumu (League Of Legends),Figures,$35.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_21.png?v=1718104323&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_22.png?v=1718104429&width=1946']"
Terminator Ezrael (League Of Legends),Figures,$135.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_19.png?v=1718103106&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_20.png?v=1718103256&width=1946']"
Aatrox (League Of Legends),Figures,$135.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_16.png?v=1718102247&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_17.png?v=1718102382&width=1946']"
Teemo Badger skin (League Of Legends),Figures,$25.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_14.png?v=1718101608&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_15.png?v=1718101719&width=1946']"
Macfarlane Toys (The Art Of Spawn) Vandalizer 2,Figures,$185.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_3_55e563ba-8c33-46cd-a6b0-02c279ec0e3c.png?v=1717847137&width=1946', 'https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_4_126eb3b9-e4f9-43df-b78a-36aedec90ed1.png?v=1717847268&width=1946']"
Macfarlane Toys (The Art Of Spawn) Spawn The Black Knight,Figures,$385.00 USD,"['https://giftmania.online/cdn/shop/files/MacFarlaneToys_Hanna-Barbera_MagillaGorilla_2_f2845590-21aa-4624-ad2e-064c5ff0d50a.png?v=1717846718&width=1946', 'https://giftmania.online/cdn/shop/files/ScreenShot2024-06-08at2.43.00PM.png?v=1717846960&width=1946']"
Macfarlane Toys (6 Faces of Madness) Billy The Kid,Figures,$195.00 USD,"['https://giftmania.online/cdn/shop/files/939ce8ec-6281-42a7-90fe-8a1bbfd42bcb_1.ef201af5976671b6de7429df189d4c6a.webp?v=1717845929&width=1946', 'https://giftmania.online/cdn/shop/files/billythekid_900x_5afcd4fd-9be3-4b92-b558-cbb53883cbc6.webp?v=1717845951&width=1946']"
